stage,policy_id,game,game_name,split,weeks,draws,replicates,cost_per_replicate,raw_roi_mean,raw_roi_median,robust_roi_mean,fixed_roi_mean,delta_robust_roi_mean,delta_robust_roi_median,delta_ci_low,delta_ci_high,delta_fixed_roi_mean,delta_fixed_ci_low,delta_fixed_ci_high,positive_replicate_rate,active_week_rate,active_week_win_rate,median_max_drawdown,hits_per_replicate,top2_hits_all_replicates
coarse,candidate__antipop_m060_d075,super,威力彩,train,482,963,8,481500,-0.7996555036344756,-0.8060841121495327,-0.7996555036344756,-0.7996555036344756,-0.03413161993769471,-0.006130841121495327,-0.03407028008298754,-0.03407028008298754,-0.03413161993769471,-0.03407028008298754,-0.03407028008298754,0.375,0.9813278008298755,0.5010570824524313,-388129.5,567.75,0
coarse,candidate__antipop_m060_d075,super,威力彩,validation,241,482,8,241000,-0.7898340248962655,-0.7890041493775934,-0.7898340248962655,-0.7898340248962655,0.02183609958506224,0.02116182572614108,0.021836099585062243,0.021836099585062243,0.02183609958506224,0.021836099585062243,0.021836099585062243,0.625,0.970954356846473,0.47435897435897434,-195350.0,277.25,0
coarse,candidate__antipop_m060_d090,super,威力彩,holdout,242,484,8,242000,-0.8039772727272727,-0.8043388429752065,-0.8039772727272727,-0.8039772727272727,-0.01802685950413223,-0.011363636363636364,-0.018026859504132235,-0.018026859504132235,-0.01802685950413223,-0.018026859504132235,-0.018026859504132235,0.375,0.9628099173553719,0.5064377682403434,-194650.0,282.0,0
coarse,candidate__antipop_m060_d090,super,威力彩,train,482,963,8,481500,-0.8091882139148494,-0.8158380062305296,-0.8091882139148494,-0.8091882139148494,-0.04366433021806854,-0.0027289719626168224,-0.04354123443983402,-0.04354123443983402,-0.04366433021806854,-0.04354123443983402,-0.04354123443983402,0.375,0.9854771784232366,0.4694736842105263,-392826.0,563.0,0
coarse,candidate__antipop_m060_d090,super,威力彩,validation,241,482,8,241000,-0.8212655601659751,-0.8188796680497925,-0.8212655601659751,-0.8212655601659751,-0.009595435684647302,-0.005809128630705394,-0.009595435684647302,-0.009595435684647302,-0.009595435684647302,-0.009595435684647302,-0.009595435684647302,0.25,0.979253112033195,0.5254237288135594,-197350.0,277.0,0
coarse,candidate__antipop_m085_d055,super,威力彩,holdout,242,484,8,242000,-0.7996384297520661,-0.8113636363636363,-0.7996384297520661,-0.7996384297520661,-0.013688016528925621,-0.01818181818181818,-0.013688016528925621,-0.013688016528925621,-0.013688016528925621,-0.013688016528925621,-0.013688016528925621,0.375,0.9669421487603306,0.49145299145299143,-196350.0,274.125,0
coarse,candidate__antipop_m085_d055,super,威力彩,train,482,963,8,481500,-0.7580376427829699,-0.7919148494288681,-0.7580376427829699,-0.7580376427829699,0.007486240913811007,0.0017995846313603324,0.007920643153526969,0.007920643153526969,0.007486240913811007,0.007920643153526969,0.007920643153526969,0.5,0.979253112033195,0.4936440677966102,-382507.0,561.75,0
coarse,candidate__antipop_m085_d055,super,威力彩,validation,241,482,8,241000,-0.8035788381742739,-0.8122406639004149,-0.8035788381742739,-0.8035788381742739,0.008091286307053941,-0.004356846473029046,0.008091286307053941,0.008091286307053941,0.008091286307053941,0.008091286307053941,0.008091286307053941,0.5,0.9585062240663901,0.5324675324675324,-195800.0,279.75,0
coarse,candidate__antipop_m085_d075,super,威力彩,holdout,242,484,8,242000,-0.8127066115702479,-0.8165289256198347,-0.8127066115702479,-0.8127066115702479,-0.02675619834710744,-0.008471074380165288,-0.026756198347107435,-0.026756198347107435,-0.02675619834710744,-0.026756198347107435,-0.026756198347107435,0.375,0.9917355371900827,0.5,-197600.0,280.375,0
coarse,candidate__antipop_m085_d075,super,威力彩,train,482,963,8,481500,-0.7884091381100727,-0.7908276220145378,-0.7884091381100727,-0.7884091381100727,-0.022885254413291794,0.011146417445482866,-0.02280964730290457,-0.02280964730290457,-0.022885254413291794,-0.02280964730290457,-0.02280964730290457,0.5,0.9647302904564315,0.4881720430107527,-380783.5,566.875,0
coarse,candidate__antipop_m085_d075,super,威力彩,validation,241,482,8,241000,-0.7236514522821577,-0.8128630705394191,-0.7236514522821577,-0.7236514522821577,0.08801867219917013,0.016390041493775934,0.08801867219917013,0.08801867219917013,0.08801867219917013,0.08801867219917013,0.08801867219917013,0.625,0.983402489626556,0.540084388185654,-195900.0,284.5,0
coarse,candidate__antipop_m085_d090,super,威力彩,holdout,242,484,8,242000,-0.7976756198347108,-0.8,-0.7976756198347108,-0.7976756198347108,-0.011725206611570248,-0.0014462809917355369,-0.011725206611570248,-0.011725206611570248,-0.011725206611570248,-0.011725206611570248,-0.011725206611570248,0.5,0.987603305785124,0.5188284518828452,-193600.0,288.625,0
coarse,candidate__antipop_m085_d090,super,威力彩,train,482,963,8,481500,-0.7596121495327103,-0.7946085150571132,-0.7596121495327103,-0.7596121495327103,0.005911734164070616,0.009133956386292837,0.005931535269709538,0.005931535269709538,0.005911734164070616,0.005931535269709538,0.005931535269709538,0.5,0.983402489626556,0.48945147679324896,-382604.0,571.5,0
coarse,candidate__antipop_m085_d090,super,威力彩,validation,241,482,8,241000,-0.8035788381742739,-0.8134854771784232,-0.8035788381742739,-0.8035788381742739,0.008091286307053943,0.0010373443983402492,0.008091286307053941,0.008091286307053941,0.008091286307053943,0.008091286307053941,0.008091286307053941,0.5,0.979253112033195,0.5042372881355932,-196050.0,283.375,0
coarse,candidate__balance_loose,super,威力彩,holdout,242,484,8,242000,-0.7983987603305785,-0.8055785123966942,-0.7983987603305785,-0.7983987603305785,-0.012448347107438015,-0.0006198347107438017,-0.012448347107438017,-0.012448347107438017,-0.012448347107438015,-0.012448347107438017,-0.012448347107438017,0.375,0.8264462809917356,0.48,-194950.0,281.25,0
coarse,candidate__balance_loose,super,威力彩,train,482,963,8,481500,-0.7653483904465213,-0.8089439252336448,-0.7653483904465213,-0.7653483904465213,0.00017549325025960537,-3.530633437175493e-05,0.00017531120331950204,0.00017531120331950204,0.00017549325025960537,0.00017531120331950204,0.00017531120331950204,0.375,0.8008298755186722,0.5,-389506.5,572.0,0
coarse,candidate__balance_loose,super,威力彩,validation,241,482,8,241000,-0.7984958506224067,-0.8172199170124481,-0.7984958506224067,-0.7984958506224067,0.013174273858921162,0.0056016597510373444,0.013174273858921162,0.013174273858921162,0.013174273858921162,0.013174273858921162,0.013174273858921162,0.625,0.7800829875518672,0.5372340425531915,-196950.0,285.25,0
coarse,candidate__balance_standard,super,威力彩,holdout,242,484,8,242000,-0.7946797520661157,-0.8128099173553719,-0.7946797520661157,-0.7946797520661157,-0.008729338842975207,-0.001859504132231405,-0.008729338842975208,-0.008729338842975208,-0.008729338842975207,-0.008729338842975208,-0.008729338842975208,0.375,0.9710743801652892,0.48936170212765956,-196700.0,284.125,0
coarse,candidate__balance_standard,super,威力彩,train,482,963,8,481500,-0.7706840602284527,-0.8127487019730011,-0.7706840602284527,-0.7706840602284527,-0.005160176531671859,-0.003245067497403946,-0.0050510892116182576,-0.0050510892116182576,-0.005160176531671859,-0.0050510892116182576,-0.0050510892116182576,0.375,0.9585062240663901,0.48917748917748916,-391338.5,574.0,0
coarse,candidate__balance_standard,super,威力彩,validation,241,482,8,241000,-0.8067427385892116,-0.8056016597510374,-0.8067427385892116,-0.8067427385892116,0.004927385892116183,0.004979253112033195,0.004927385892116183,0.004927385892116183,0.004927385892116183,0.004927385892116183,0.004927385892116183,0.625,0.941908713692946,0.5506607929515418,-194150.0,299.25,0
coarse,candidate__balance_tight,super,威力彩,holdout,242,484,8,242000,-0.8023243801652893,-0.8103305785123966,-0.8023243801652893,-0.8023243801652893,-0.01637396694214876,-0.0128099173553719,-0.016373966942148762,-0.016373966942148762,-0.01637396694214876,-0.016373966942148762,-0.016373966942148762,0.375,0.9628099173553719,0.5107296137339056,-196100.0,289.0,0
coarse,candidate__balance_tight,super,威力彩,train,482,963,8,481500,-0.7939774143302181,-0.8028026998961578,-0.7939774143302181,-0.7939774143302181,-0.02845353063343718,-0.002509865005192108,-0.028475881742738587,-0.028475881742738587,-0.02845353063343718,-0.028475881742738587,-0.028475881742738587,0.5,0.9854771784232366,0.4610526315789474,-386549.5,567.75,0
coarse,candidate__balance_tight,super,威力彩,validation,241,482,8,241000,-0.8108402489626556,-0.8130705394190871,-0.8108402489626556,-0.8108402489626556,0.0008298755186721983,0.0035269709543568465,0.0008298755186721997,0.0008298755186721997,0.0008298755186721983,0.0008298755186721997,0.0008298755186721997,0.5,0.9626556016597511,0.5344827586206896,-195950.0,289.5,0
coarse,candidate__cold_g075_c2,super,威力彩,holdout,242,484,8,242000,-0.7870867768595041,-0.7989669421487603,-0.7870867768595041,-0.7870867768595041,-0.0011363636363636365,-0.0006198347107438016,-0.0011363636363636378,-0.0011363636363636378,-0.0011363636363636365,-0.0011363636363636378,-0.0011363636363636378,0.5,0.9628099173553719,0.44635193133047213,-193350.0,297.125,0
coarse,candidate__cold_g075_c2,super,威力彩,train,482,963,8,481500,-0.7673598130841122,-0.8092731048805816,-0.7673598130841122,-0.7673598130841122,-0.001835929387331256,-0.012471443406022846,-0.0017471473029045653,-0.0017471473029045653,-0.001835929387331256,-0.0017471473029045653,-0.0017471473029045653,0.375,0.983402489626556,0.4409282700421941,-389782.5,568.625,0
coarse,candidate__cold_g075_c2,super,威力彩,validation,241,482,8,241000,-0.7280082987551867,-0.7923236514522822,-0.7280082987551867,-0.7280082987551867,0.08366182572614107,0.03568464730290456,0.08366182572614109,0.08366182572614109,0.08366182572614107,0.08366182572614109,0.08366182572614109,0.75,0.979253112033195,0.5084745762711864,-190950.0,272.625,0
coarse,candidate__cold_g075_c4,super,威力彩,holdout,242,484,8,242000,-0.7787706611570248,-0.7756198347107438,-0.7787706611570248,-0.7787706611570248,0.007179752066115701,0.006198347107438017,0.007179752066115704,0.007179752066115704,0.007179752066115701,0.007179752066115704,0.007179752066115704,0.5,0.9710743801652892,0.4851063829787234,-187700.0,304.125,0
coarse,candidate__cold_g075_c4,super,威力彩,train,482,963,8,481500,-0.7623634475597092,-0.8016282450674974,-0.7623634475597092,-0.7623634475597092,0.00316043613707165,-0.013490134994807893,0.0032440352697095448,0.0032440352697095448,0.00316043613707165,0.0032440352697095448,0.0032440352697095448,0.375,0.9875518672199171,0.4432773109243697,-385984.0,569.625,0
coarse,candidate__cold_g075_c4,super,威力彩,validation,241,482,8,241000,-0.8225622406639004,-0.816597510373444,-0.8225622406639004,-0.8225622406639004,-0.010892116182572614,-0.007883817427385892,-0.010892116182572615,-0.010892116182572615,-0.010892116182572614,-0.010892116182572615,-0.010892116182572615,0.375,0.983402489626556,0.4472573839662447,-196800.0,267.125,0
coarse,candidate__cold_g075_c8,super,威力彩,holdout,242,484,8,242000,-0.8027892561983472,-0.803099173553719,-0.8027892561983472,-0.8027892561983472,-0.016838842975206613,0.0022727272727272726,-0.01683884297520661,-0.01683884297520661,-0.016838842975206613,-0.01683884297520661,-0.01683884297520661,0.5,0.9752066115702479,0.5338983050847458,-194350.0,303.875,0
coarse,candidate__cold_g075_c8,super,威力彩,train,482,963,8,481500,-0.7161783489096574,-0.7766531671858775,-0.7161783489096574,-0.7161783489096574,0.04934553478712357,0.005948078920041537,0.04938122406639004,0.04938122406639004,0.04934553478712357,0.04938122406639004,0.04938122406639004,0.5,0.9854771784232366,0.4631578947368421,-374638.5,558.0,0
coarse,candidate__cold_g075_c8,super,威力彩,validation,241,482,8,241000,-0.8065871369294606,-0.8141078838174274,-0.8065871369294606,-0.8065871369294606,0.005082987551867219,0.0031120331950207467,0.00508298755186722,0.00508298755186722,0.005082987551867219,0.00508298755186722,0.00508298755186722,0.625,0.979253112033195,0.4406779661016949,-196200.0,268.75,0
coarse,candidate__cold_g150_c2,super,威力彩,holdout,242,484,8,242000,-0.7827479338842975,-0.8024793388429752,-0.7827479338842975,-0.7827479338842975,0.003202479338842973,0.023140495867768597,0.003202479338842976,0.003202479338842976,0.003202479338842973,0.003202479338842976,0.003202479338842976,0.625,0.9917355371900827,0.4791666666666667,-194200.0,306.0,0
coarse,candidate__cold_g150_c2,super,威力彩,train,482,963,8,481500,-0.5210778816199377,-0.8032585669781931,-0.7768676012461059,-0.7768676012461059,-0.01134371754932503,-0.0036209761163032194,-0.011245072614107883,-0.011245072614107883,-0.01134371754932503,-0.011245072614107883,-0.011245072614107883,0.375,0.979253112033195,0.4406779661016949,-388586.5,567.125,1
coarse,candidate__cold_g150_c2,super,威力彩,validation,241,482,8,241000,-0.7920643153526971,-0.8099585062240664,-0.7920643153526971,-0.7920643153526971,0.019605809128630705,0.010995850622406638,0.019605809128630705,0.019605809128630705,0.019605809128630705,0.019605809128630705,0.019605809128630705,0.5,0.970954356846473,0.4188034188034188,-195200.0,266.0,0
coarse,candidate__cold_g150_c4,super,威力彩,holdout,242,484,8,242000,-0.8068698347107438,-0.8192148760330579,-0.8068698347107438,-0.8068698347107438,-0.020919421487603305,-0.02066115702479339,-0.020919421487603305,-0.020919421487603305,-0.020919421487603305,-0.020919421487603305,-0.020919421487603305,0.375,0.9669421487603306,0.41452991452991456,-198250.0,292.125,0
coarse,candidate__cold_g150_c4,super,威力彩,train,482,963,8,481500,-0.7629670301142264,-0.8012949117341641,-0.7629670301142264,-0.7629670301142264,0.0025568535825545137,0.013473520249221185,0.002641078838174276,0.002641078838174276,0.0025568535825545137,0.002641078838174276,0.002641078838174276,0.625,0.9854771784232366,0.43157894736842106,-385823.5,572.875,0
coarse,candidate__cold_g150_c4,super,威力彩,validation,241,482,8,241000,-0.8299792531120331,-0.8363070539419086,-0.8299792531120331,-0.8299792531120331,-0.018309128630705395,-0.011203319502074689,-0.018309128630705395,-0.018309128630705395,-0.018309128630705395,-0.018309128630705395,-0.018309128630705395,0.125,0.966804979253112,0.4034334763948498,-201550.0,271.375,0
coarse,candidate__cold_g150_c8,super,威力彩,holdout,242,484,8,242000,-0.8248450413223141,-0.824793388429752,-0.8248450413223141,-0.8248450413223141,-0.03889462809917355,-0.02706611570247934,-0.03889462809917355,-0.03889462809917355,-0.03889462809917355,-0.03889462809917355,-0.03889462809917355,0.375,0.9917355371900827,0.3958333333333333,-199600.0,291.625,0
coarse,candidate__cold_g150_c8,super,威力彩,train,482,963,8,481500,-0.8181690031152647,-0.8240571131879544,-0.8181690031152647,-0.8181690031152647,-0.052645119418483904,-0.012277258566978193,-0.05250363070539419,-0.05250363070539419,-0.052645119418483904,-0.05250363070539419,-0.05250363070539419,0.125,0.9771784232365145,0.4140127388535032,-396783.5,568.0,0
coarse,candidate__cold_g150_c8,super,威力彩,validation,241,482,8,241000,-0.8278008298755186,-0.8358921161825726,-0.8278008298755186,-0.8278008298755186,-0.01613070539419087,-0.01970954356846473,-0.016130705394190873,-0.016130705394190873,-0.01613070539419087,-0.016130705394190873,-0.016130705394190873,0.25,0.991701244813278,0.401673640167364,-201450.0,278.125,0
coarse,candidate__cold_g225_c2,super,威力彩,holdout,242,484,8,242000,-0.8012396694214876,-0.8099173553719008,-0.8012396694214876,-0.8012396694214876,-0.015289256198347107,0.003925619834710743,-0.015289256198347107,-0.015289256198347107,-0.015289256198347107,-0.015289256198347107,-0.015289256198347107,0.5,0.9917355371900827,0.45,-196000.0,300.375,0
coarse,candidate__cold_g225_c2,super,威力彩,train,482,963,8,481500,-0.7736814641744548,-0.8209044652128765,-0.7736814641744548,-0.7736814641744548,-0.00815758047767393,-0.00654828660436137,-0.008062240663900417,-0.008062240663900417,-0.00815758047767393,-0.008062240663900417,-0.008062240663900417,0.375,0.9854771784232366,0.4189473684210526,-395265.5,573.75,0
coarse,candidate__cold_g225_c2,super,威力彩,validation,241,482,8,241000,-0.8151970954356846,-0.8290456431535269,-0.8151970954356846,-0.8151970954356846,-0.0035269709543568452,-0.01037344398340249,-0.0035269709543568465,-0.0035269709543568465,-0.0035269709543568452,-0.0035269709543568465,-0.0035269709543568465,0.375,0.975103734439834,0.4085106382978723,-199800.0,264.875,0
coarse,candidate__cold_g225_c4,super,威力彩,holdout,242,484,8,242000,-0.8043904958677686,-0.8169421487603306,-0.8043904958677686,-0.8043904958677686,-0.018440082644628097,-0.005578512396694215,-0.018440082644628097,-0.018440082644628097,-0.018440082644628097,-0.018440082644628097,-0.018440082644628097,0.5,0.9917355371900827,0.4,-198000.0,295.875,0
coarse,candidate__cold_g225_c4,super,威力彩,train,482,963,8,481500,2.4759667705088266,-0.8104226375908619,-0.8056555036344756,-0.8056555036344756,-0.04013161993769471,-0.010696780893042577,-0.04000311203319502,-0.04000311203319502,-0.04013161993769471,-0.04000311203319502,-0.04000311203319502,0.375,0.9937759336099585,0.40501043841336115,-390218.5,570.75,1
coarse,candidate__cold_g225_c4,super,威力彩,validation,241,482,8,241000,-0.816701244813278,-0.8178423236514523,-0.816701244813278,-0.816701244813278,-0.005031120331950207,-0.00933609958506224,-0.00503112033195021,-0.00503112033195021,-0.005031120331950207,-0.00503112033195021,-0.00503112033195021,0.25,0.991701244813278,0.3723849372384937,-197100.0,275.125,0
coarse,candidate__cold_g225_c8,super,威力彩,holdout,242,484,8,242000,-0.8220041322314049,-0.8359504132231405,-0.8220041322314049,-0.8220041322314049,-0.03605371900826446,-0.017355371900826446,-0.03605371900826446,-0.03605371900826446,-0.03605371900826446,-0.03605371900826446,-0.03605371900826446,0.25,0.9834710743801653,0.36134453781512604,-202300.0,287.375,0
coarse,candidate__cold_g225_c8,super,威力彩,train,482,963,8,481500,-0.8153489096573209,-0.8187341640706127,-0.8153489096573209,-0.8153489096573209,-0.04982502596053998,-0.011589823468328141,-0.049686462655601664,-0.049686462655601664,-0.04982502596053998,-0.049686462655601664,-0.049686462655601664,0.375,0.991701244813278,0.3682008368200837,-394220.5,564.125,0
coarse,candidate__cold_g225_c8,super,威力彩,validation,241,482,8,241000,-0.8175829875518672,-0.8257261410788381,-0.8175829875518672,-0.8175829875518672,-0.005912863070539421,-0.01950207468879668,-0.005912863070539422,-0.005912863070539422,-0.005912863070539421,-0.005912863070539422,-0.005912863070539422,0.375,0.991701244813278,0.35564853556485354,-199000.0,274.75,0
coarse,candidate__hot_w100_d094,super,威力彩,holdout,242,484,8,242000,-0.8066632231404959,-0.8076446280991736,-0.8066632231404959,-0.8066632231404959,-0.02071280991735537,-0.01714876033057851,-0.020712809917355367,-0.020712809917355367,-0.02071280991735537,-0.020712809917355367,-0.020712809917355367,0.375,0.9917355371900827,0.4708333333333333,-196450.0,282.625,0
coarse,candidate__hot_w100_d094,super,威力彩,train,482,963,8,481500,-0.8011391484942887,-0.8015389408099689,-0.8011391484942887,-0.8011391484942887,-0.03561526479750779,-0.007259605399792316,-0.0354914419087137,-0.0354914419087137,-0.03561526479750779,-0.0354914419087137,-0.0354914419087137,0.375,0.983402489626556,0.4873417721518987,-386105.0,578.875,0
coarse,candidate__hot_w100_d094,super,威力彩,validation,241,482,8,241000,-0.7895228215767635,-0.7939834024896266,-0.7895228215767635,-0.7895228215767635,0.022147302904564313,0.02614107883817427,0.022147302904564316,0.022147302904564316,0.022147302904564313,0.022147302904564316,0.022147302904564316,0.75,0.970954356846473,0.5085470085470085,-191350.0,287.0,0
coarse,candidate__hot_w100_d097,super,威力彩,holdout,242,484,8,242000,-0.8117768595041323,-0.8041322314049587,-0.8117768595041323,-0.8117768595041323,-0.025826446280991736,-0.01714876033057851,-0.025826446280991736,-0.025826446280991736,-0.025826446280991736,-0.025826446280991736,-0.025826446280991736,0.25,0.9793388429752066,0.4388185654008439,-197150.0,273.75,0
coarse,candidate__hot_w100_d097,super,威力彩,train,482,963,8,481500,-0.7885163551401869,-0.7865192107995846,-0.7885163551401869,-0.7885163551401869,-0.02299247144340602,0.024936656282450675,-0.022881742738589207,-0.022881742738589207,-0.02299247144340602,-0.022881742738589207,-0.022881742738589207,0.625,0.979253112033195,0.4682203389830508,-379385.5,575.375,0
coarse,candidate__hot_w100_d097,super,威力彩,validation,241,482,8,241000,-0.8065352697095436,-0.8151452282157676,-0.8065352697095436,-0.8065352697095436,0.0051348547717842315,0.00995850622406639,0.005134854771784233,0.005134854771784233,0.0051348547717842315,0.005134854771784233,0.005134854771784233,0.625,0.979253112033195,0.5338983050847458,-196450.0,286.0,0
coarse,candidate__hot_w100_d099,super,威力彩,holdout,242,484,8,242000,-0.7944731404958678,-0.7966942148760331,-0.7944731404958678,-0.7944731404958678,-0.008522727272727272,-0.004132231404958678,-0.008522727272727272,-0.008522727272727272,-0.008522727272727272,-0.008522727272727272,-0.008522727272727272,0.25,0.9752066115702479,0.4661016949152542,-194100.0,276.5,0
coarse,candidate__hot_w100_d099,super,威力彩,train,482,963,8,481500,-0.7856754932502596,-0.7872575285565939,-0.7856754932502596,-0.7856754932502596,-0.02015160955347871,0.0062429906542056076,-0.020043827800829875,-0.020043827800829875,-0.02015160955347871,-0.020043827800829875,-0.020043827800829875,0.625,0.9854771784232366,0.47789473684210526,-380555.0,568.75,0
coarse,candidate__hot_w100_d099,super,威力彩,validation,241,482,8,241000,-0.791960580912863,-0.8031120331950208,-0.791960580912863,-0.791960580912863,0.01970954356846473,0.006224066390041494,0.01970954356846473,0.01970954356846473,0.01970954356846473,0.01970954356846473,0.01970954356846473,0.625,0.995850622406639,0.5458333333333333,-193550.0,292.25,0
coarse,candidate__hot_w20_d094,super,威力彩,holdout,242,484,8,242000,-0.802892561983471,-0.8200413223140496,-0.802892561983471,-0.802892561983471,-0.01694214876033058,-0.004132231404958678,-0.01694214876033058,-0.01694214876033058,-0.01694214876033058,-0.01694214876033058,-0.01694214876033058,0.5,0.9710743801652892,0.48936170212765956,-198450.0,283.5,0
coarse,candidate__hot_w20_d094,super,威力彩,train,482,963,8,481500,-0.7919060228452752,-0.80203738317757,-0.7919060228452752,-0.7919060228452752,-0.026382139148494292,-0.0054195223260643825,-0.026267894190871367,-0.026267894190871367,-0.026382139148494292,-0.026267894190871367,-0.026267894190871367,0.375,0.9813278008298755,0.4714587737843552,-386315.0,572.125,0
coarse,candidate__hot_w20_d094,super,威力彩,validation,241,482,8,241000,-0.7977178423236515,-0.8068464730290457,-0.7977178423236515,-0.7977178423236515,0.01395228215767635,0.017427385892116183,0.01395228215767635,0.01395228215767635,0.01395228215767635,0.01395228215767635,0.01395228215767635,0.75,0.9543568464730291,0.508695652173913,-194450.0,285.25,0
coarse,candidate__hot_w20_d097,super,威力彩,holdout,242,484,8,242000,-0.7947314049586777,-0.802892561983471,-0.7947314049586777,-0.7947314049586777,-0.008780991735537189,0.0012396694214876032,-0.008780991735537187,-0.008780991735537187,-0.008780991735537189,-0.008780991735537187,-0.008780991735537187,0.5,0.9752066115702479,0.5,-194300.0,281.75,0
